Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
10.01.2020   kl. 14.30;FOR-2020-01-08-10;Endr. i forskrift om Det felles europeiske luftrom;https://lovdata.no/dokument/LTI/forskrift/2020-01-08-10;Forskrift om endring i forskrift om etablering og gjennomføring av Det felles europeiske luftrom;Samferdselsdepartementet;02.01.2020;FOR-2014-12-19-1846;2020-0025;Norge;LOV-1993-06-11-101-§7-4, LOV-1993-06-11-101-§9-1, LOV-1993-06-11-101-§15-3, LOV-1993-06-11-101-§15-4, LOV-1993-06-11-101-§16-1, FOR-1973-11-23-3427-§1;;
10.01.2020   kl. 14.30;FOR-2019-12-19-2177;Endr. i forskrift om bruk av kjøretøy (24 meters vogntog på modulvogntogvegnettet);https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2177;Forskrift om endring i forskrift om bruk av kjøretøy (24 meters vogntog på modulvogntogvegnettet);Samferdselsdepartementet;15.01.2020;FOR-1990-01-25-92;2020-0030;Norge;LOV-1965-06-18-4-§13, FOR-1980-11-24-1;;
10.01.2020   kl. 14.30;FOR-2019-12-19-2176;Endr. i bilforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2176;Forskrift om endring i forskrift om godkjenning av bil og tilhenger til bil (bilforskriften);Samferdselsdepartementet;15.01.2020;FOR-2012-07-05-817;2020-0029;Norge;LOV-1965-06-18-4-§13, LOV-1965-06-18-4-§14, LOV-1965-06-18-4-§15, LOV-1965-06-18-4-§16, FOR-1980-11-24-1;;
10.01.2020   kl. 14.30;FOR-2019-12-18-2175;Forskrift om klagebehandling av vedtak fattet av Norsk akkreditering;https://lovdata.no/dokument/LTI/forskrift/2019-12-18-2175;Forskrift om klagebehandling av vedtak fattet av Norsk akkreditering;Nærings- og fiskeridepartementet;18.12.2019;;2020-0027;Norge;LOV-2013-04-12-13-§3;;
09.01.2020   kl. 14.15;FOR-2020-01-09-8;Opph. av referanserenteforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-09-8;Forskrift om oppheving av forskrift til lov om fastsettelse av referanserenter;Finansdepartementet;09.01.2020;FOR-2016-11-16-1333;2020-0026;Norge;LOV-2015-12-04-95-§1;;
09.01.2020   kl. 14.15;FOR-2020-01-08-7;Endr. i forskrift om legemidler fra apotek;https://lovdata.no/dokument/LTI/forskrift/2020-01-08-7;Forskrift om endring i forskrift om rekvirering og utlevering av legemidler fra apotek;Helse- og omsorgsdepartementet;08.01.2020;FOR-1998-04-27-455;2020-0024;Norge;LOV-1999-07-02-64-§11, LOV-2000-06-02-39-§6-8;;
09.01.2020   kl. 14.15;FOR-2020-01-08-6;Endr. i forskrift om varer av edelt metall mv.;https://lovdata.no/dokument/LTI/forskrift/2020-01-08-6;Forskrift om endring i forskrift om varer av edelt metall mv.;Nærings- og fiskeridepartementet;08.01.2020;FOR-2011-01-10-12;2020-0023;Norge;LOV-2010-09-03-52-§9;;
09.01.2020   kl. 14.15;FOR-2020-01-08-5;Endr. i forskrift om målenheter og måling;https://lovdata.no/dokument/LTI/forskrift/2020-01-08-5;Forskrift om endring i forskrift om målenheter og måling;Nærings- og fiskeridepartementet;08.01.2020;FOR-2007-12-20-1723;2020-0022;Norge;LOV-2007-01-26-4-§31;;
09.01.2020   kl. 14.15;FOR-2020-01-07-4;Endr. i utlendingsforskriften (vedlegg 15);https://lovdata.no/dokument/LTI/forskrift/2020-01-07-4;Forskrift om endring i utlendingsforskriften (vedlegg 15);Justis- og beredskapsdepartementet;07.01.2020;FOR-2009-10-15-1286;2020-0011;Norge;LOV-2008-05-15-35-§65, FOR-2009-10-09-1260, FOR-2009-12-16-1586;;
09.01.2020   kl. 14.15;FOR-2020-01-07-3;Endr. i utlendingsforskriften (oppdatering av enkelte bestemmelser i kapittel 3 om visum);https://lovdata.no/dokument/LTI/forskrift/2020-01-07-3;Forskrift om endring i utlendingsforskriften (oppdatering av enkelte bestemmelser i kapittel 3 om visum);Justis- og beredskapsdepartementet;01.02.2020;FOR-2009-10-15-1286;2020-0010;Norge;LOV-2008-05-15-35-§10, LOV-2008-05-15-35-§13, FOR-2009-10-09-1260, FOR-2009-12-18-1582;;
09.01.2020   kl. 14.15;FOR-2019-12-06-2159;Endr. i forskrift om Den norske kirkes medlemsregister;https://lovdata.no/dokument/LTI/forskrift/2019-12-06-2159;Forskrift om endring i forskrift om Den norske kirkes medlemsregister;Barne- og familiedepartementet;09.01.2020;FOR-2018-04-16-581;2020-0007;Norge;FOR-2018-04-16-581-§14, LOV-1996-06-07-31-§3;;
09.01.2020   kl. 14.15;FOR-2019-12-05-2158;Forskrift om opptak, studier og eksamen for Einar Granum Kunstfagskole;https://lovdata.no/dokument/LTI/forskrift/2019-12-05-2158;Forskrift om opptak, studier og eksamen for Einar Granum Kunstfagskole;Kunnskapsdepartementet;05.12.2019;FOR-2017-06-20-1046;2019-1218;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§21;;
08.01.2020   kl. 14.50;FOR-2020-01-03-2;Endr. i forskrift om verdipapirsentraler og verdipapiroppgjør;https://lovdata.no/dokument/LTI/forskrift/2020-01-03-2;Forskrift om endring i forskrift om verdipapirsentraler og verdipapiroppgjør;Finansdepartementet;03.01.2020;FOR-2019-12-18-1900;2020-0003;Norge;LOV-2019-03-15-6-§1-1, FOR-2019-10-31-1447;;
08.01.2020   kl. 14.50;FOR-2020-01-02-1;Endr. i utlendingsforskriften (opphevelse av § 11-3);https://lovdata.no/dokument/LTI/forskrift/2020-01-02-1;Forskrift om endring i utlendingsforskriften (opphevelse av § 11-3);Justis- og beredskapsdepartementet;02.01.2020;FOR-2009-10-15-1286;2020-0001;Norge;LOV-2008-05-15-35-§62, FOR-2009-10-09-1260, FOR-2009-12-18-1582;;
08.01.2020   kl. 14.50;FOR-2019-12-20-2151;Forskrift om endring i forskrift om pass;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2151;Forskrift om endring i forskrift om pass;Justis- og beredskapsdepartementet;01.01.2020;FOR-1999-12-09-1263;2020-0002;Norge;LOV-1997-06-19-82-§9;;
08.01.2020   kl. 14.50;FOR-2019-12-20-2150;Endr. i forskrifter til samordningsloven;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2150;Forskrift om endringer i forskrifter til lov om samordning av pensjons- og trygdeytelser (samordningsloven);Arbeids- og sosialdepartementet;01.01.2020;FOR-1958-08-30-4077, FOR-1958-10-15-8686, FOR-1958-11-25-4078, FOR-1959-10-30-4109, FOR-1962-11-23-4087, FOR-1966-12-31-4076, FOR-1966-12-31-4089, FOR-1966-12-31-4095, FOR-1966-12-31-4097, FOR-1966-12-31-4098, FOR-1966-12-31-4105, FOR-1966-12-31-4100, FOR-1968-04-01-4088, FOR-1969-05-19-4091, FOR-1973-07-18-9411, FOR-1974-01-01-4107, FOR-1975-07-18-9410, FOR-1978-02-07-4094, FOR-1979-10-01-4082, FOR-1979-10-01-4083, FOR-1979-10-01-4084, FOR-1979-10-01-4111, FOR-1979-11-28-4066, FOR-1980-10-15-4101, FOR-1982-12-30-1829, FOR-1985-12-31-4104, FOR-1986-03-21-861, FOR-1986-05-15-4093, FOR-1988-11-02-888, FOR-1988-12-16-1133, FOR-1989-01-03-3, FOR-1989-01-03-4, FOR-1989-12-20-1268, FOR-1992-09-04-663, FOR-1993-03-19-215, FOR-1993-08-02-779, FOR-1996-07-01-683, FOR-2000-07-06-726, FOR-2000-07-07-743, FOR-2002-01-02-4, FOR-2010-04-20-527, FOR-2010-10-12-1330, FOR-2011-10-20-1038;2019-1412;Norge;LOV-1957-07-06-26-§1, LOV-1957-07-06-26-§7, LOV-1957-07-06-26-§9, LOV-1957-07-06-26-§10, LOV-1957-07-06-26-§16, LOV-1957-07-06-26-§23, LOV-1957-07-06-26-§28, LOV-1957-07-06-26-§30, LOV-1957-07-06-26-§31;;
08.01.2020   kl. 14.50;FOR-2019-12-20-2149;Forskrift for Fagskolen i Agder;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2149;Forskrift om opptak, studier og eksamen ved Fagskolen i Agder (Forskrift for Fagskolen i Agder);Kunnskapsdepartementet;01.01.2020;FOR-2017-04-20-1232;2019-1406;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§14, LOV-2018-06-08-28-§14a, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, LOV-2018-06-08-28-§28, LOV-2018-06-08-28-§43, FOR-2019-07-11-1005-§2, FOR-2019-07-11-1005-§3, FOR-2019-07-11-1005-§4, FOR-2019-07-11-1005-§6, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§11, FOR-2019-07-11-1005-§12, FOR-2019-07-11-1005-§13, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§19, FOR-2019-07-11-1005-§20, FOR-2019-07-11-1005-§21, FOR-2019-07-11-1005-§22, FOR-2019-07-11-1005-§23, FOR-2019-07-11-1005-§24, FOR-2019-07-11-1005-§25, FOR-2019-07-11-1005-§26, FOR-2019-07-11-1005-§27, FOR-2019-07-11-1005-§28, FOR-2019-07-11-1005-§29, FOR-2019-07-11-1005-§30, FOR-2019-07-11-1005-§31, FOR-2019-07-11-1005-§32, FOR-2019-07-11-1005-§33, FOR-2019-07-11-1005-§34, FOR-2019-07-11-1005-§35, FOR-2019-07-11-1005-§36, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§41;;
08.01.2020   kl. 14.50;FOR-2019-12-19-2148;Endr. i forskrift om uerfisket nord for 62° N i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2148;Forskrift om endring i forskrift om regulering av fisket etter uer nord for 62° N i 2020;Nærings- og fiskeridepartementet;19.12.2019;FOR-2019-12-19-2026;2020-0006;Norge;FOR-2019-12-19-2026-§11, LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§13, LOV-2008-06-06-37-§14, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§37, LOV-2008-06-06-37-§59, LOV-1999-03-26-15-§12, LOV-1999-03-26-15-§20;;
08.01.2020   kl. 14.50;FOR-2019-12-17-2147;Forskrift for opptak, studier og eksamen ved Imageakademiet;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2147;Forskrift for opptak, studier og eksamen ved Imageakademiet;Kunnskapsdepartementet;01.01.2020;FOR-2017-12-19-2451;2020-0004;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§21;;
08.01.2020   kl. 14.50;FOR-2019-12-12-2146;Forskrift om opptak, studier og eksamen for Kunstfagskolen i Bergen;https://lovdata.no/dokument/LTI/forskrift/2019-12-12-2146;Forskrift om opptak, studier og eksamen for Kunstfagskolen i Bergen;Kunnskapsdepartementet;01.01.2020;;2019-1408;Norge;LOV-2018-06-08-28-§4, LOV-2018-06-08-28-§5, LOV-2018-06-08-28-§7, LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§17, LOV-2018-06-08-28-§18, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, LOV-2018-06-08-28-§39, FOR-2019-07-11-1005;;
07.01.2020   kl. 16.05;FOR-2019-12-30-2145;Endr. i forskrift om endr. i forskrift om svine- og fjørfeproduksjonen;https://lovdata.no/dokument/LTI/forskrift/2019-12-30-2145;Forskrift om endring i forskrift om endring i forskrift om regulering av svine- og fjørfeproduksjonen;Landbruks- og matdepartementet;30.12.2019;FOR-2019-10-17-1375, FOR-2004-04-01-611;2019-1416;Norge;LOV-2004-01-16-5-§2;;
07.01.2020   kl. 16.05;FOR-2019-12-30-2144;Endr. i endringsforskrift til tollforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-30-2144;Forskrift om endring i forskrift om endring i forskrift til lov om toll og vareførsel (tollforskriften);Finansdepartementet;30.12.2019;FOR-2019-12-18-1899, FOR-2008-12-17-1502;2019-1415;Norge;LOV-2007-12-21-119-§4-23, FOR-2016-12-02-1426, FOR-2008-11-25-1256;;
07.01.2020   kl. 16.05;FOR-2019-12-27-2143;Endr. i forskrift om førstehandsomsetning av fisk mv.;https://lovdata.no/dokument/LTI/forskrift/2019-12-27-2143;Forskrift om endring i forskrift om førstehandsomsetning av viltlevande marine ressursar;Nærings- og fiskeridepartementet;01.01.2020;FOR-2013-12-20-1665;2019-1417;Norge;LOV-2013-06-21-75-§4;;
07.01.2020   kl. 16.05;FOR-2019-12-23-2142;Endr. i forskrift om pasientbetaling for poliklinisk helsehjelp i spesialisthelsetenesta;https://lovdata.no/dokument/LTI/forskrift/2019-12-23-2142;Forskrift om endring i forskrift om betaling frå pasientar for poliklinisk helsehjelp i spesialisthelsetenesta;Helse- og omsorgsdepartementet;01.01.2020;FOR-2016-12-20-1848;2019-1411;Norge;LOV-1999-07-02-61-§5-5;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2141;Ikrafts. av lov 2019:94, endr. i skatteloven;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2141;Ikraftsetting av lov 20. desember 2019 nr. 94 om endringer i skatteloven;Finansdepartementet;20.12.2019, med virkning fra og med inntektsåret 2020;LOV-1999-03-26-14;2020-0009;Norge;LOV-2019-12-20-94;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2140;Opph. av overgangsregler for stønadsmottakere;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2140;Forskrift om opphevelse av forskrift om overgangsregler for personer som ved innføringen av arbeidsavklaringspenger mottar rehabiliteringspenger, attføringspenger, attføringsstønader eller tidsbegrenset uførestønad;Arbeids- og sosialdepartementet;01.01.2020;FOR-2009-09-15-1194;2019-1413;Norge;LOV-2008-12-19-106;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2139;Endr. i forskrift om tilskudd til spesielle miljøtiltak i jordbruket;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2139;Forskrift om endring i forskrift om tilskudd til spesielle miljøtiltak i jordbruket;Landbruks- og matdepartementet;01.01.2020;FOR-2004-02-04-448;2019-1407;Norge;LOV-1995-05-12-23-§3, LOV-1995-05-12-23-§18;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2138;Endr. i Sjøfartsdirektoratets gebyrforskrift;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2138;Forskrift om endring i forskrift om oppkreving av gebyr til statskassen for besiktelser, sertifikatutstedelse mv. som foretas i henhold til skipssikkerhetsloven mv. (Sjøfartsdirektoratets gebyrforskrift);Nærings- og fiskeridepartementet;01.01.2020;FOR-1996-02-02-115;2019-1399;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§3, LOV-2007-02-16-9-§4, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§10, LOV-2007-02-16-9-§48, FOR-2007-02-16-171, LOV-1994-06-24-39-§198, FOR-2013-12-09-1552-§26, LOV-1998-06-26-47-§20, LOV-1998-06-26-47-§21, LOV-1998-06-26-47-§26a, FOR-1998-11-27-1095;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2137;Forskrift om avgifter for bruk av lufthavner drevet av Avinor AS;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2137;Forskrift om avgifter for bruk av lufthavner drevet av Avinor AS;Samferdselsdepartementet;01.01.2020, 01.03.2020;FOR-2014-12-17-1802;2019-1391;Norge;LOV-1993-06-11-101-§7-26, LOV-1993-06-11-101-§16-1;;
07.01.2020   kl. 16.05;FOR-2019-12-20-2136;Forskrift om opptak, studier mv. ved fagskolen Hald Internasjonale Senter;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2136;Forskrift om opptak, gjennomføring av studier, eksamen, klageregler og skikkethetsvurdering for fagskolen Hald Internasjonale Senter;Kunnskapsdepartementet;01.01.2020;FOR-2017-05-30-677;2019-1372;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§10, LOV-2018-06-08-28-§14, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§11, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§18, FOR-2019-07-11-1005-§19, FOR-2019-07-11-1005-§20, FOR-2019-07-11-1005-§21, FOR-2019-07-11-1005-§22, FOR-2019-07-11-1005-§23, FOR-2019-07-11-1005-§24, FOR-2019-07-11-1005-§25, FOR-2019-07-11-1005-§26, FOR-2019-07-11-1005-§27, FOR-2019-07-11-1005-§28, FOR-2019-07-11-1005-§29, FOR-2019-07-11-1005-§30, FOR-2019-07-11-1005-§31, FOR-2019-07-11-1005-§32, FOR-2019-07-11-1005-§33, FOR-2019-07-11-1005-§34, FOR-2019-07-11-1005-§35, FOR-2019-07-11-1005-§35, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§41, LOV-1967-02-10, FOR-2018-10-25-2254-§3-1;;
07.01.2020   kl. 16.05;FOR-2019-12-19-2135;Forskrift om regulering av vassildfisket, 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2135;Forskrift om regulering av fisket etter vassild i 2020;Nærings- og fiskeridepartementet;01.01.2020 – 31.12.2020;;2019-1410;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§37, LOV-2008-06-06-37-§59, LOV-1999-03-26-15-§12, LOV-1999-03-26-15-§21, FOR-2000-02-11-99, FOR-2001-10-16-4686;;
07.01.2020   kl. 16.05;FOR-2019-12-17-2134;Forskrift om opptak, studier, eksamen og klagebehandling for Asker Kunstfagskole;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2134;Forskrift om opptak, studier, eksamen og klagebehandling for Fabrikken Asker Kunstfagskole;Kunnskapsdepartementet;01.01.2020;FOR-2017-06-06-1225;2019-1334;Norge;LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§12, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§43, FOR-2019-07-11-1005-§2, FOR-2019-07-11-1005-§8, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§18, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§43, LOV-1967-02-10-§1;;
07.01.2020   kl. 16.05;FOR-2019-12-13-2133;Endr. i Biocidforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-13-2133;Forskrift om endring i forskrift om biocider (Biocidforskriften);Klima- og miljødepartementet;13.12.2019;FOR-2017-04-18-480;2019-1409;Norge;LOV-1976-06-11-79-§4, LOV-1976-06-11-79-§8a, FOR-1977-08-05-2, LOV-1990-09-07-730, LOV-2005-06-17-62-§4-5, LOV-2005-06-17-62-§5-4;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2119;Forskrift om regulering av fiske i Grønlands økonomiske sone og i Irmingerhavet i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2119;Forskrift om regulering av fiske i Grønlands økonomiske sone og i Irmingerhavet i 2020;Nærings- og fiskeridepartementet;01.01.2020 – 31.12.2020;;2019-1402;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§47, LOV-1999-03-26-15-§20, LOV-1999-03-26-15-§21, FOR-2000-02-11-99, FOR-2001-10-16-4686, FOR-2019-12-12-1733-§1, FOR-2019-12-12-1733-§41, FOR-2019-12-12-1733-§42;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2118;Forskrift om blåkveitefisket nord for 62° N i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2118;Forskrift om regulering av fisket etter blåkveite nord for 62° N i 2020;Nærings- og fiskeridepartementet;01.01.2020 – 31.12.2020;;2019-1400;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§59, LOV-1999-03-26-15-§21, FOR-2000-02-11-99;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2117;Endr. i forskrift om maritime sertifikatgebyrer mv.;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2117;Forskrift om endring i forskrift om gebyr for utstedelse av sertifikater og påtegninger til maritimt personell og for utstedelse av båtførerbevis til båtførere (forskrift om maritime sertifikatgebyrer mv.);Nærings- og fiskeridepartementet;01.01.2020;FOR-2009-12-21-1739;2019-1397;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§3, LOV-2007-02-16-9-§16, LOV-2007-02-16-9-§48, FOR-2007-02-16-171, LOV-1998-06-26-47-§20, LOV-1998-06-26-47-§26b, LOV-1998-06-26-47-§31, FOR-1998-11-27-1095;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2116;Endr. i forskrift om avgift på flysikringstjenester;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2116;Forskrift om endring i forskrift om avgift på flysikringstjenester;Samferdselsdepartementet;01.01.2020;FOR-2014-12-19-1847;2019-1395;Norge;LOV-1993-06-11-101-§15-3, LOV-1993-06-11-101-§15-4, LOV-1993-06-11-101-§16-1;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2115;Endr. i forskrift om Det felles europeiske luftrom;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2115;Forskrift om endring i forskrift om etablering og gjennomføring av Det felles europeiske luftrom;Samferdselsdepartementet;01.01.2020;FOR-2014-12-19-1846;2019-1394;Norge;LOV-1993-06-11-101-§7-4, LOV-1993-06-11-101-§9-1, LOV-1993-06-11-101-§15-3, LOV-1993-06-11-101-§15-4, LOV-1993-06-11-101-§16-1, FOR-1973-11-23-3427-§1;;
06.01.2020   kl. 16.00;FOR-2019-12-20-2114;Målvedtaksforskrifta;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2114;Forskrift om målvedtak i kommunar og fylkeskommunar (målvedtaksforskrifta);Kulturdepartementet;01.01.2020;FOR-2007-04-01-378;2019-1385;Norge;LOV-1980-04-11-5-§5, FOR-1980-12-05-4938-§8, FOR-2016-06-03-1951;;
06.01.2020   kl. 16.00;FOR-2019-12-19-2113;Forskrift om høyere yrkesfaglig utdanning ved Fagskolen Innlandet;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2113;Forskrift om høyere yrkesfaglig utdanning ved Fagskolen Innlandet;Kunnskapsdepartementet;01.01.2020;FOR-2017-03-01-1138;2019-1403;Norge;LOV-2018-06-08-28-§7, LOV-2018-06-08-28-§8, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§17, LOV-2018-06-08-28-§18, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, LOV-2018-06-08-28-§43, FOR-2019-07-11-1005-§1, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§11, FOR-2019-07-11-1005-§13, FOR-2019-07-11-1005-§14, FOR-2019-07-11-1005-§15, FOR-2019-07-11-1005-§16, FOR-2019-07-11-1005-§17, FOR-2019-07-11-1005-§19, FOR-2019-07-11-1005-§20, FOR-2019-07-11-1005-§21, FOR-2019-07-11-1005-§22, FOR-2019-07-11-1005-§23, FOR-2019-07-11-1005-§24, FOR-2019-07-11-1005-§25, FOR-2019-07-11-1005-§26, FOR-2019-07-11-1005-§27, FOR-2019-07-11-1005-§28, FOR-2019-07-11-1005-§29, FOR-2019-07-11-1005-§31, FOR-2019-07-11-1005-§32, FOR-2019-07-11-1005-§36, FOR-2019-07-11-1005-§37;;
06.01.2020   kl. 16.00;FOR-2019-12-19-2112;Forskrift om Kommunal- og moderniseringsdepartementets tilskuddsmidler til Arktis 2030;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2112;Forskrift om Kommunal- og moderniseringsdepartementets tilskuddsmidler til Arktis 2030;Kommunal- og moderniseringsdepartementet;01.01.2020;;2019-1396;Norge;Stortingets årlige budsjettvedtak;;
06.01.2020   kl. 16.00;FOR-2019-12-19-2111;Endr. i CRR/CRD IV-forskriften mv. (inkorporering av kapitalkravsforordningen);https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2111;Forskrift om endring i CRR/CRD IV-forskriften mv. (inkorporering av kapitalkravsforordningen);Finansdepartementet;31.12.2019;FOR-2014-08-22-1097, FOR-2016-12-09-1502, FOR-1999-08-23-957, FOR-2014-06-26-877, FOR-2011-12-21-1467, FOR-1990-06-01-435, FOR-2006-12-14-1506, FOR-2006-12-22-1615, FOR-2015-12-22-1841, FOR-2007-06-29-747, FOR-1990-10-22-875, FOR-2000-06-22-632;2019-1331;Norge;LOV-2015-04-10-17-§1-7, LOV-2015-04-10-17-§13-7, LOV-2015-04-10-17-§14-2, LOV-2015-04-10-17-§14-3, LOV-2015-04-10-17-§14-4, LOV-2015-04-10-17-§14-5, LOV-2015-04-10-17-§14-6, LOV-2015-04-10-17-§18-2, LOV-2015-04-10-17-§18-7, LOV-2007-06-29-75-§9-40, LOV-2007-06-29-75-§9-41, LOV-2007-06-29-75-§9-42, LOV-2007-06-29-75-§9-47, LOV-2007-06-29-75-§9-48, LOV-2014-06-20-28-§2-6, LOV-2014-06-20-28-§2-7, LOV-2011-11-25-44-§2-8, LOV-1998-07-17-56-§10-1;;
06.01.2020   kl. 16.00;FOR-2019-12-18-2110;Forskrift om de regionale forskningsfondene;https://lovdata.no/dokument/LTI/forskrift/2019-12-18-2110;Forskrift om de regionale forskningsfondene;Kunnskapsdepartementet;01.01.2020;;2019-1392;Norge;Stortingets årlige budsjettvedtak;;
